Movie ID,original_title,date_published,genre,duration,country,director,actors_1,avg_vote,budget,usa_gross_income,worlwide_gross_income,reviews_from_users
367882,Indiana Jones and the Kingdom of the Crystal Skull,23/05/2008,Action,122,USA,Steven Spielberg,Harrison Ford,6.1,185000000,317101119,790653942,2173
120912,Men in Black II,13/09/2002,Action,88,USA,Barry Sonnenfeld,Tommy Lee Jones,6.2,140000000,193735288,445135288,650
157472,Clockstoppers,26/07/2002,Action,94,USA,Jonathan Frakes,Jesse Bradford,5.2,26000000,36989956,38793283,95
227538,Spy Kids,24/08/2001,Action,88,USA,Robert Rodriguez,Antonio Banderas,5.5,35000000,112719001,147934180,221
258038,Pootie Tang,29/06/2001,Action,81,USA,Louis C.K.,Lance Crouther,5.3,7000000,3313583,3313583,133
271367,Eight Legged Freaks,30/08/2002,Action,99,USA,Ellory Elkayem,David Arquette,5.4,30000000,17322606,45867333,314
287717,Spy Kids 2: Island of Lost Dreams,10/01/2003,Action,100,USA,Robert Rodriguez,Antonio Banderas,5.2,38000000,85846429,119723358,115
295178,Austin Powers in Goldmember,29/11/2002,Action,94,USA,Jay Roach,Mike Myers,6.2,63000000,213307889,296938801,786
305357,Charlie's Angels: Full Throttle,04/07/2003,Action,106,USA,McG,Cameron Diaz,4.9,120000000,100830111,259175788,576
327850,The Rundown,05/03/2004,Action,104,USA,Peter Berg,Dwayne Johnson,6.7,85000000,47726342,80981914,270
338459,Spy Kids 3: Game Over,30/12/2003,Action,84,USA,Robert Rodriguez,Antonio Banderas,4.3,38000000,111761982,197101678,209
362270,The Life Aquatic with Steve Zissou,04/03/2005,Action,119,USA,Wes Anderson,Bill Murray,7.3,50000000,24020403,34808403,671
383060,Zoom,11/08/2006,Action,93,USA,Peter Hewitt,Tim Allen,4.4,35000000,11989328,12506362,128
406375,Zathura: A Space Adventure,07/04/2006,Action,101,USA,Jon Favreau,Jonah Bobo,6.2,65000000,29258869,65079104,236
424774,The Adventures of Sharkboy and Lavagirl 3-D,14/10/2005,Action,93,USA,Robert Rodriguez,Taylor Lautner,3.5,50000000,39177684,71992655,220
425061,Get Smart,09/07/2008,Action,110,USA,Peter Segal,Steve Carell,6.5,80000000,130319208,230685453,437
457400,Land of the Lost,11/12/2009,Action,102,USA,Brad Silberling,Will Ferrell,5.3,100000000,49438370,68777554,287
478970,Ant-Man,12/08/2015,Action,117,USA,Peyton Reed,Paul Rudd,7.3,130000000,180202163,519311965,726
770752,Fool's Gold,24/04/2008,Action,112,USA,Andy Tennant,Matthew McConaughey,5.7,70000000,70231041,111231041,158
790736,R.I.P.D.,12/09/2013,Action,96,USA,Robert Schwentke,Jeff Bridges,5.6,130000000,33618855,78324220,254
838232,The Pink Panther 2,06/03/2009,Action,92,USA,Harald Zwart,Steve Martin,5.6,70000000,35922978,76025134,121
844286,The Brothers Bloom,19/06/2009,Action,114,USA,Rian Johnson,Rachel Weisz,6.8,20000000,3531756,5530764,126
1013743,Knight and Day,08/10/2010,Action,109,USA,James Mangold,Tom Cruise,6.3,117000000,76423035,261989769,405
1210819,The Lone Ranger,03/07/2013,Action,150,USA,Gore Verbinski,Johnny Depp,6.4,215000000,89302115,260502115,770
1291150,Teenage Mutant Ninja Turtles,18/09/2014,Action,101,USA,Jonathan Liebesman,Megan Fox,5.8,125000000,191204754,485004754,547
1397514,Journey 2: The Mysterious Island,24/02/2012,Action,94,USA,Brad Peyton,Dwayne Johnson,5.8,79000000,103860290,335260290,182
1431045,Deadpool,18/02/2016,Action,108,USA,Tim Miller,Ryan Reynolds,8,58000000,363070709,782612155,1449
1517489,Spy Kids 4: All the Time in the World,19/08/2011,Action,89,USA,Robert Rodriguez,Jessica Alba,3.5,27000000,38538188,85564310,93
1560220,Zombieland: Double Tap,14/11/2019,Action,99,USA,Ruben Fleischer,Woody Harrelson,6.7,42000000,73123082,122810399,711
2015381,Guardians of the Galaxy,22/10/2014,Action,121,USA,James Gunn,Chris Pratt,8,170000000,333176600,772791156,1405
2334871,Snatched,07/09/2017,Action,90,USA,Jonathan Levine,Amy Schumer,4.5,42000000,45852178,60845711,317
2788710,The Interview,24/12/2014,Action,112,USA,"Evan Goldberg, Seth Rogen",James Franco,6.5,44000000,6105175,11782625,929
2788732,Pete's Dragon,10/08/2016,Action,102,USA,David Lowery,Bryce Dallas Howard,6.7,65000000,76233151,143695338,165
3501632,Thor: Ragnarok,25/10/2017,Action,130,USA,Taika Waititi,Chris Hemsworth,7.9,180000000,315058289,853979142,1600
3896198,Guardians of the Galaxy Vol. 2,25/04/2017,Action,136,USA,James Gunn,Chris Pratt,7.6,200000000,389813101,863756051,1047
5095030,Ant-Man and the Wasp,14/08/2018,Action,118,USA,Peyton Reed,Paul Rudd,7.1,162000000,216648740,622674139,944
5463162,Deadpool 2,15/05/2018,Action,119,USA,David Leitch,Ryan Reynolds,7.7,110000000,324591735,785794179,1309
7975244,Jumanji: The Next Level,25/12/2019,Action,123,USA,Jake Kasdan,Dwayne Johnson,6.7,125000000,316831246,796575993,940
184858,Reindeer Games,01/12/2000,Action,104,USA,John Frankenheimer,Ben Affleck,5.8,42000000,23368995,32168970,222
257076,S.W.A.T.,28/11/2003,Action,117,USA,Clark Johnson,Samuel L. Jackson,6,80000000,116934650,207725639,347
329774,xXx: State of the Union,29/04/2005,Action,101,USA,Lee Tamahori,Willem Dafoe,4.4,113000000,26873932,71022693,234
378109,Into the Blue,27/01/2006,Action,110,USA,John Stockwell,Paul Walker,5.9,50000000,18801234,46117696,224
1568338,Man on a Ledge,10/02/2012,Action,102,USA,Asger Leth,Sam Worthington,6.6,42000000,18620000,47636031,185
1748227,The Collection,30/11/2012,Action,82,USA,Marcus Dunstan,Josh Stewart,6.1,7500000,6842058,9929706,129
7713068,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,06/02/2020,Action,109,USA,Cathy Yan,Margot Robbie,6.1,84500000,84158461,201858461,2222
177971,The Perfect Storm,29/09/2000,Action,130,USA,Wolfgang Petersen,George Clooney,6.4,140000000,182618434,328718434,804
311113,Master and Commander: The Far Side of the World,19/12/2003,Action,138,USA,Peter Weir,Russell Crowe,7.4,150000000,93927920,211622535,722
377062,Flight of the Phoenix,29/04/2005,Action,113,USA,John Moore,Dennis Quaid,6.1,45000000,21009180,35021497,224
406816,The Guardian,19/01/2007,Action,139,USA,Andrew Davis,Kevin Costner,6.9,70000000,55011732,94973540,288
416236,The Spiderwick Chronicles,21/03/2008,Action,96,USA,Mark Waters,Freddie Highmore,6.5,90000000,71195053,164170327,145
418689,Flags of Our Fathers,10/11/2006,Action,135,USA,Clint Eastwood,Ryan Phillippe,7,90000000,33602376,65900249,435
480249,I Am Legend,11/01/2008,Action,101,USA,Francis Lawrence,Will Smith,7.2,150000000,256393010,585410052,1548
1037705,The Book of Eli,26/02/2010,Action,118,USA,"Albert Hughes, Allen Hughes",Denzel Washington,6.9,80000000,94835059,157107755,656
1601913,The Grey,05/12/2012,Action,117,USA,Joe Carnahan,Liam Neeson,6.8,25000000,51580236,79781695,861
1959490,Noah,10/04/2014,Action,138,USA,Darren Aronofsky,Russell Crowe,5.7,125000000,101200044,359200044,1401
2017038,All Is Lost,06/02/2014,Action,106,USA,J.C. Chandor,#VALUE!,6.9,9000000,6263670,13627519,396
2106361,Into the Storm,27/08/2014,Action,89,USA,Steven Quale,Richard Armitage,5.8,50000000,47602194,161502194,251
2126355,San Andreas,28/05/2015,Action,114,USA,Brad Peyton,Dwayne Johnson,6.1,110000000,155190832,473990832,624
2226597,The Mountain Between Us,23/11/2017,Action,112,USA,Hany Abu-Assad,Kate Winslet,6.4,35000000,30348555,62832209,333
2638144,Ben-Hur,29/09/2016,Action,123,USA,Timur Bekmambetov,Jack Huston,5.7,100000000,26410477,94061311,265
4073790,The Darkest Minds,14/08/2018,Action,104,USA,Jennifer Yuh Nelson,Amandla Stenberg,5.7,34000000,12695691,41142379,475
4154796,Avengers: Endgame,24/04/2019,Action,181,USA,"Anthony Russo, Joe Russo",Robert Downey Jr.,8.4,356000000,858373000,2797800564,8869
5968394,Captive State,28/03/2019,Action,109,USA,Rupert Wyatt,John Goodman,6,25000000,5958315,8808611,359
373051,Journey to the Center of the Earth,16/01/2009,Action,93,USA,Eric Brevig,Brendan Fraser,5.8,60000000,101704370,244232688,235
938283,The Last Airbender,24/09/2010,Action,103,USA,M. Night Shyamalan,Noah Ringer,4,150000000,131772187,319713881,1577
963966,The Sorcerer's Apprentice,18/08/2010,Action,109,USA,Jon Turteltaub,Nicolas Cage,6.1,150000000,63150991,215283742,260
1075417,Race to Witch Mountain,29/05/2009,Action,98,USA,Andy Fickman,Dwayne Johnson,5.7,65000000,67172594,106387141,127
1587310,Maleficent,28/05/2014,Action,97,USA,Robert Stromberg,Angelina Jolie,7,180000000,241410378,758411648,774
121765,Star Wars: Episode II - Attack of the Clones,16/05/2002,Action,142,USA,George Lucas,Ewan McGregor,6.5,115000000,310676740,653779970,3660
121766,Star Wars: Episode III - Revenge of the Sith,20/05/2005,Action,140,USA,George Lucas,Ewan McGregor,7.5,113000000,380270577,868390560,3569
209163,The Mummy Returns,11/05/2001,Action,130,USA,Stephen Sommers,Brendan Fraser,6.3,98000000,202019785,443280904,927
325980,Pirates of the Caribbean: The Curse of the Black Pearl,05/09/2003,Action,143,USA,Gore Verbinski,Johnny Depp,8,140000000,305413918,654264015,2196
359013,Blade: Trinity,04/03/2005,Action,113,USA,David S. Goyer,Wesley Snipes,5.9,65000000,52411906,131977904,538
383574,Pirates of the Caribbean: Dead Man's Chest,13/09/2006,Action,151,USA,Gore Verbinski,Johnny Depp,7.3,225000000,423315812,1066179725,1889
449088,Pirates of the Caribbean: At World's End,23/05/2007,Action,169,USA,Gore Verbinski,Johnny Depp,7.1,300000000,309420425,960996492,1296
450405,Cirque du Freak: The Vampire's Assistant,07/05/2010,Action,119,USA,Paul Weitz,John C. Reilly,5.8,40000000,13869515,39291383,198
466909,The Omen,06/06/2006,Action,110,USA,John Moore,Predrag Bjelac,5.5,25000000,54607383,119974972,568
473075,Prince of Persia: The Sands of Time,19/05/2010,Action,116,USA,Mike Newell,Jake Gyllenhaal,6.6,200000000,90759676,336365676,477
479997,Season of the Witch,15/06/2011,Action,95,USA,Dominic Sena,Nicolas Cage,5.4,40000000,24827228,91627228,254
499549,Avatar,15/01/2010,Action,162,USA,James Cameron,Sam Worthington,7.8,237000000,760507625,2790439092,3442
800369,Thor,27/04/2011,Action,115,USA,Kenneth Branagh,Chris Hemsworth,7,150000000,181030624,449326618,917
983946,Fantasy Island,13/02/2020,Action,109,USA,Jeff Wadlow,Michael Peña,4.9,7000000,26441782,47315959,635
1211837,Doctor Strange,26/10/2016,Action,115,USA,Scott Derrickson,Benedict Cumberbatch,7.5,165000000,232641920,677718395,961
1386697,Suicide Squad,13/08/2016,Action,123,USA,David Ayer,Will Smith,6,175000000,325100054,746846894,2268
1648190,The Dark Tower,10/08/2017,Action,95,USA,Nikolaj Arcel,Matthew McConaughey,5.6,60000000,50701325,113231078,802
1731141,Ender's Game,30/10/2013,Action,114,USA,Gavin Hood,Asa Butterfield,6.6,110000000,61737191,125544024,632
1981115,Thor: The Dark World,20/11/2013,Action,112,USA,Alan Taylor,Chris Hemsworth,6.9,170000000,206362140,644783140,703
2527336,Star Wars: Episode VIII - The Last Jedi,13/12/2017,Action,152,USA,Rian Johnson,Mark Hamill,7,317000000,620181382,1332540187,6718
2527338,Star Wars: Episode IX - The Rise of Skywalker,18/12/2019,Action,141,USA,J.J. Abrams,Carrie Fisher,6.6,275000000,515202542,1074144248,7553
3717252,Underworld: Blood Wars,06/04/2017,Action,91,USA,Anna Foerster,Kate Beckinsale,5.8,35000000,30353973,81093313,218
1060277,Cloverfield,01/02/2008,Action,85,USA,Matt Reeves,Lizzy Caplan,7,25000000,80048433,172394180,2343
368891,National Treasure,07/12/2004,Action,131,USA,Jon Turteltaub,Nicolas Cage,6.9,100000000,173008894,347512318,741
465234,National Treasure: Book of Secrets,21/12/2007,Action,124,USA,Jon Turteltaub,Nicolas Cage,6.5,130000000,219964115,459242249,324
1840309,Divergent,03/04/2014,Action,139,USA,Neil Burger,Shailene Woodley,6.7,85000000,150947895,288885818,799
1951264,The Hunger Games: Catching Fire,27/11/2013,Action,146,USA,Francis Lawrence,Jennifer Lawrence,7.5,130000000,424668047,865011746,726
3410834,Allegiant,09/03/2016,Action,120,USA,Robert Schwentke,Shailene Woodley,5.7,110000000,66184051,179246868,222
183790,A Knight's Tale,09/11/2001,Action,132,USA,Brian Helgeland,Heath Ledger,6.9,65000000,56569702,117487473,702
