,Movie ID,Title,Date,Genre,RunTime,country,Director,Actors,Average_Vote,Budget,USA Gross Income,Worldwide Gross Income,Fan Reviews,Year
883,4364194,The Peanut Butter Falcon,2020-06-15,Comedy,97,USA,"Tyler Nilson, Michael Schwartz",Zack Gottsagen,7.6,6200000,20457151,23620709,423,2020
309,1634106,Bloodshot,2020-03-27,Action,109,USA,Dave Wilson,Vin Diesel,5.7,45000000,10021787,30855391,672,2020
44,7713068,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020-06-02,Action,109,USA,Cathy Yan,Margot Robbie,6.1,84500000,84158461,201858461,2222,2020
1519,3281548,Little Women,2020-09-01,Drama,135,USA,Greta Gerwig,Saoirse Ronan,7.8,40000000,108101214,216601214,897,2020
1305,5727208,Uncut Gems,2020-01-31,Crime,135,USA,"Benny Safdie, Josh Safdie",Mesfin Lamengo,7.4,19000000,50023780,50023780,2193,2020
339,8244784,The Hunt,2020-03-24,Action,90,USA,Craig Zobel,Betty Gilpin,6.5,14000000,5812500,10530977,757,2020
1598,8134742,3 from Hell,2020-04-26,Horror,115,USA,Rob Zombie,Sheri Moon Zombie,5.5,3000000,2172949,2295825,311,2020
336,5774060,Underwater,2020-01-30,Action,95,USA,William Eubank,Kristen Stewart,5.8,80000000,17291078,40882928,795,2020
81,983946,Fantasy Island,2020-02-13,Action,109,USA,Jeff Wadlow,Michael Peña,4.9,7000000,26441782,47315959,635,2020
585,3513548,Richard Jewell,2020-01-16,Biography,131,USA,Clint Eastwood,Paul Walter Hauser,7.5,45000000,22345542,43745542,473,2020
586,4916630,Just Mercy,2020-01-30,Biography,137,USA,Destin Daniel Cretton,Jamie Foxx,7.6,25000000,36001502,50401502,363,2020
786,8946378,Knives Out,2019-05-12,Comedy,130,USA,Rian Johnson,Daniel Craig,7.9,40000000,165363234,309232797,2334,2019
712,1489887,Booksmart,2019-08-21,Comedy,102,USA,Olivia Wilde,Kaitlyn Dever,7.2,6000000,22680962,24863452,788,2019
1557,6343314,Creed II,2019-01-24,Drama,130,USA,Steven Caple Jr.,Michael B. Jordan,7.1,50000000,115715889,214215889,772,2019
1521,4126476,After,2019-11-04,Drama,105,USA,Jenny Gage,Josephine Langford,5.4,14000000,12138565,69733482,761,2019
1269,5691670,Under the Silver Lake,2019-02-05,Crime,139,USA,David Robert Mitchell,Andrew Garfield,6.5,8500000,46083,2053469,281,2019
1638,4913966,The Curse of la Llorona,2019-04-17,Horror,93,USA,Michael Chaves,Linda Cardellini,5.3,9000000,54733739,123133739,527,2019
532,4520988,Frozen II,2019-11-27,Animation,103,USA,"Chris Buck, Jennifer Lee",Kristen Bell,6.9,150000000,477373578,1450026933,1302,2019
1525,6472976,Five Feet Apart,2019-03-21,Drama,116,USA,Justin Baldoni,Haley Lu Richardson,7.2,7000000,45729221,91522094,307,2019
866,1987680,The Upside,2019-01-04,Comedy,126,USA,Neil Burger,Kevin Hart,6.9,37500000,108252517,125856180,776,2019
1526,7125860,If Beale Street Could Talk,2019-01-24,Drama,119,USA,Barry Jenkins,KiKi Layne,7.1,12000000,14915773,20596567,293,2019
206,7734218,Stuber,2019-08-29,Action,93,USA,Michael Dowse,Dave Bautista,6.2,16000000,22370452,32390945,408,2019
1254,385887,Motherless Brooklyn,2019-07-11,Crime,144,USA,Edward Norton,Edward Norton,6.8,26000000,9277736,18477736,319,2019
204,4463894,Shaft,2019-06-28,Action,111,USA,Tim Story,Samuel L. Jackson,6.4,35000000,21360215,21360215,360,2019
514,1979376,Toy Story 4,2019-06-26,Animation,100,USA,Josh Cooley,Tom Hanks,7.8,200000000,434038008,1073394593,1287,2019
784,5503686,Hustlers,2019-07-11,Comedy,110,USA,Lorene Scafaria,Constance Wu,6.3,20000000,104963598,157563598,700,2019
88,2527338,Star Wars: Episode IX - The Rise of Skywalker,2019-12-18,Action,141,USA,J.J. Abrams,Carrie Fisher,6.6,275000000,515202542,1074144248,7553,2019
1018,2126357,Second Act,2019-01-24,Comedy,103,USA,Peter Segal,Jennifer Lopez,5.8,16000000,39282227,72294066,209,2019
61,4154796,Avengers: Endgame,2019-04-24,Action,181,USA,"Anthony Russo, Joe Russo",Robert Downey Jr.,8.4,356000000,858373000,2797800564,8869,2019
1642,5734576,The Possession of Hannah Grace,2019-01-31,Horror,86,USA,Diederik Van Rooijen,Shay Mitchell,5.2,7700000,14837422,43016528,255,2019
1234,5580266,The Hate U Give,2019-03-14,Crime,133,USA,George Tillman Jr.,Amandla Stenberg,7.4,23000000,29719483,34934009,350,2019
1233,4537896,White Boy Rick,2019-07-03,Crime,111,USA,Yann Demange,Matthew McConaughey,6.4,29000000,24011188,25957482,192,2019
758,1298644,The Hustle,2019-05-16,Comedy,93,USA,Chris Addison,Timothy Simons,5.4,21000000,35417038,95055451,605,2019
635,3361792,Tolkien,2019-12-09,Biography,112,USA,Dome Karukoski,Nicholas Hoult,6.8,20000000,4535154,9090040,228,2019
293,6146586,John Wick: Chapter 3 - Parabellum,2019-05-16,Action,130,USA,Chad Stahelski,Keanu Reeves,7.5,75000000,171015687,326709727,2223,2019
608,9024106,Unplanned,2019-03-29,Biography,109,USA,"Chuck Konzelman, Cary Solomon",Ashley Bratcher,5.8,6000000,19005109,21171090,629,2019
1431,7752126,Brightburn,2019-05-23,Drama,90,USA,David Yarovesky,Elizabeth Banks,6.1,6000000,17300439,32893421,1141,2019
457,5814534,Spies in Disguise,2019-12-25,Animation,102,USA,"Nick Bruno, Troy Quane",Rachel Brosnahan,6.8,100000000,66757013,171616764,202,2019
887,6107548,Late Night,2019-12-09,Comedy,102,USA,Nisha Ganatra,Emma Thompson,6.5,4000000,15499454,22386555,291,2019
62,5968394,Captive State,2019-03-28,Action,109,USA,Rupert Wyatt,John Goodman,6.0,25000000,5958315,8808611,359,2019
613,6450186,I Can Only Imagine,2019-07-11,Biography,110,USA,"Andrew Erwin, Jon Erwin",J. Michael Finley,7.3,7000000,83482352,86086881,301,2019
1644,8350360,Annabelle Comes Home,2019-03-07,Horror,106,USA,Gary Dauberman,Vera Farmiga,5.9,30000000,74152591,231252591,748,2019
262,7137380,Destroyer,2019-06-06,Action,121,USA,Karyn Kusama,Nicole Kidman,6.2,9000000,1533324,5580940,321,2019
1373,3864056,The Goldfinch,2019-10-10,Drama,149,USA,John Crowley,Oakes Fegley,6.3,45000000,5332621,9932621,250,2019
573,6266538,Vice,2019-03-01,Biography,132,USA,Adam McKay,Christian Bale,7.2,60000000,47836282,76073488,729,2019
740,6521876,Jay and Silent Bob Reboot,2019-11-29,Comedy,105,USA,Kevin Smith,Joey Lauren Adams,5.7,10000000,4589490,4691248,360,2019
150,6320628,Spider-Man: Far from Home,2019-10-07,Action,129,USA,Jon Watts,Tom Holland,7.5,160000000,390532085,1131927996,2041,2019
875,2365580,"Where'd You Go, Bernadette",2019-12-12,Comedy,109,USA,Richard Linklater,Cate Blanchett,6.5,20000000,9198356,10821453,156,2019
565,4595882,Can You Ever Forgive Me?,2019-02-21,Biography,106,USA,Marielle Heller,Melissa McCarthy,7.1,10000000,8803865,12442161,245,2019
1035,6857166,Book Club,2019-04-04,Comedy,104,USA,Bill Holderman,Diane Keaton,6.1,10000000,68566296,104438188,310,2019
1091,2452244,Isn't It Romantic,2019-02-28,Comedy,89,USA,Todd Strauss-Schulson,Rebel Wilson,5.9,31000000,48791187,48791187,415,2019
1092,7634968,What Men Want,2019-08-02,Comedy,117,USA,Adam Shankman,Taraji P. Henson,5.2,20000000,54611903,72216294,285,2019
37,7975244,Jumanji: The Next Level,2019-12-25,Action,123,USA,Jake Kasdan,Dwayne Johnson,6.7,125000000,316831246,796575993,940,2019
1002,1478839,The Art of Racing in the Rain,2019-07-11,Comedy,109,USA,Simon Curtis,Kevin Costner,7.6,18000000,26395642,33766787,294,2019
1658,39344,Countdown,2019-11-21,Horror,90,USA,Justin Dec,Elizabeth Lail,5.4,6500000,25621766,48021766,312,2019
382,7343762,Good Boys,2019-05-09,Adventure,90,USA,Gene Stupnitsky,Jacob Tremblay,6.7,20000000,83140306,111037232,572,2019
370,6189022,Angel Has Fallen,2019-08-28,Action,121,USA,Ric Roman Waugh,Gerard Butler,6.4,40000000,69030436,146661977,707,2019
157,1950186,Ford v Ferrari,2019-11-14,Action,152,USA,James Mangold,Matt Damon,8.1,97600000,117624357,225508210,1316,2019
597,1226837,Beautiful Boy,2019-06-13,Biography,120,USA,Felix van Groeningen,Steve Carell,7.3,25000000,7649973,16636604,321,2019
535,5848272,Ralph Breaks the Internet,2019-01-01,Animation,112,USA,"Phil Johnston, Rich Moore",John C. Reilly,7.1,175000000,201091711,529323962,778,2019
889,7401588,Instant Family,2019-03-21,Comedy,118,USA,Sean Anders,Mark Wahlberg,7.3,48000000,67363237,120556201,571,2019
263,7390646,Black and Blue,2019-10-25,Action,108,USA,Deon Taylor,Naomie Harris,6.3,12000000,22055313,22741061,306,2019
28,1560220,Zombieland: Double Tap,2019-11-14,Action,99,USA,Ruben Fleischer,Woody Harrelson,6.7,42000000,73123082,122810399,711,2019
429,1620680,A Wrinkle in Time,2018-03-29,Adventure,109,USA,Ava DuVernay,Storm Reid,4.2,100000000,100478608,132675864,908,2018
147,4154756,Avengers: Infinity War,2018-04-25,Action,149,USA,"Anthony Russo, Joe Russo",Robert Downey Jr.,8.4,321000000,678815482,2048359754,4273,2018
1024,3104988,Crazy Rich Asians,2018-08-15,Comedy,120,USA,Jon M. Chu,Constance Wu,6.9,30000000,174532921,238538736,1135,2018
301,1413492,12 Strong,2018-11-07,Action,130,USA,Nicolai Fuglsig,Chris Hemsworth,6.6,35000000,45819713,67450815,376,2018
148,4500922,Maze Runner: The Death Cure,2018-01-02,Action,143,USA,Wes Ball,Dylan O'Brien,6.2,62000000,58032443,288175335,431,2018
1540,4477536,Fifty Shades Freed,2018-08-02,Drama,105,USA,James Foley,Dakota Johnson,4.5,55000000,100407760,371985018,263,2018
149,4881806,Jurassic World: Fallen Kingdom,2018-07-06,Action,128,USA,J.A. Bayona,Chris Pratt,6.2,170000000,417719760,1331958159,1853,2018
651,5179598,Billionaire Boys Club,2018-07-17,Biography,108,USA,James Cox,Ansel Elgort,5.6,15000000,1349,2713955,70,2018
1217,7334528,Uncle Drew,2018-06-29,Comedy,103,USA,Charles Stone III,Kyrie Irving,5.7,19000000,42469946,46664414,115,2018
458,7424200,Teen Titans Go! To the Movies,2018-06-09,Animation,84,USA,"Aaron Horvath, Peter Rida Michail",Greg Cipes,6.8,10000000,29790236,52090236,212,2018
1270,6628394,Bad Times at the El Royale,2018-10-25,Crime,141,USA,Drew Goddard,Jeff Bridges,7.1,32000000,17839115,31882724,929,2018
652,6802308,The 15:17 to Paris,2018-08-02,Biography,94,USA,Clint Eastwood,Ray Corasani,5.2,30000000,36276286,57076286,437,2018
137,2231461,Rampage,2018-12-04,Action,107,USA,Brad Peyton,Dwayne Johnson,6.1,120000000,101028233,428028233,687,2018
1378,5649144,The Florida Project,2018-03-29,Drama,111,USA,Sean Baker,Brooklynn Prince,7.6,2000000,5904366,10971298,469,2018
324,2873282,Red Sparrow,2018-01-03,Action,140,USA,Francis Lawrence,Jennifer Lawrence,6.6,69000000,46874505,151572634,988,2018
456,4633694,Spider-Man: Into the Spider-Verse,2018-12-25,Animation,117,USA,"Bob Persichetti, Peter Ramsey",Shameik Moore,8.4,90000000,190241310,375540831,1828,2018
337,6133466,The First Purge,2018-05-07,Action,97,USA,Gerard McMurray,Y'lan Noel,5.2,13000000,69488745,137056262,583,2018
455,3606756,Incredibles 2,2018-09-19,Animation,118,USA,Brad Bird,Craig T. Nelson,7.6,200000000,608581744,1242805359,1074,2018
134,1825683,Black Panther,2018-02-14,Action,134,USA,Ryan Coogler,Chadwick Boseman,7.3,200000000,700426566,1347280838,3243,2018
166,2854926,Tag,2018-05-07,Action,100,USA,Jeff Tomsic,Ed Helms,6.5,28000000,54730625,78130625,478,2018
159,3829920,Only the Brave,2018-08-22,Action,134,USA,Joseph Kosinski,Josh Brolin,7.6,38000000,18343983,26351322,194,2018
1582,5478478,Hostiles,2018-03-22,Drama,134,USA,Scott Cooper,Scott Shepherd,7.2,39000000,29819114,35669017,439,2018
